scope,procedure,severity,condition,stated_mechanism,severity_ok,mechanism_ok,should_be,vaidya_notes
herb,Shilajit,soft,diabetes_type2,Lowers blood glucose; monitor alongside oral hypoglycaemics.,,,,
herb,Shilajit,soft,hypertension,Some preparations carry a sodium load — use a purified (Shodhita) grade and monitor BP.,,,,
herb,Sitopaladi Churna,soft,diabetes_type2,Sugar-based (Sita) and classically taken with honey — use the sugar-free preparation and monitor glucose.,,,,
herb,Talisadi Churna,soft,acid_reflux,Contains Maricha and Pippali; can aggravate reflux.,,,,
herb,Talisadi Churna,soft,diabetes_type2,Sugar-based — use the sugar-free preparation.,,,,
herb,Tikta Ghrita,hard,acute_pancreatitis,A fat load is directly contraindicated in pancreatitis.,,,,
herb,Tikta Ghrita,hard,high_ama,Ghrita over undigested Ama binds it deeper into the Srotas — Deepana-Pachana first.,,,,
herb,Tikta Ghrita,soft,high_cholesterol,A daily ghee-based preparation needs lipid monitoring.,,,,
herb,Tikta Ghrita,soft,obesity,Guru and Snigdha — increases Kapha and Meda.,,,,
herb,Vasaka (Adhatoda),hard,pregnancy,Oxytocic — contraindicated throughout pregnancy.,,,,
herb,Vasaka (Adhatoda),soft,bleeding_disorder,Mild antiplatelet effect.,,,,
