id,name,category,equipment,level,movement_pattern,movement_class,muscle_group,is_impact,contraindications,why,basis,what_a_rule_would_have_said,role,skill_floor,pregnancy_safe,dosha_vata,dosha_pitta,dosha_kapha,already_reviewed,safety_ok__Y_N,pregnancy_ok__Y_N,corrections
doorway_row,Doorway Row,strength,bodyweight,beginner,pull_h,row,back,,,Self-limiting and light — the resistance is your own lean.,authored,,accessory,beginner,True,good,good,good,,,,
inverted_row,Inverted Row,strength,bodyweight,beginner,pull_h,row,back,,,"Bodyweight, spine neutral and supported by the feet. Among the safest pulls in the library.",authored,,main,beginner,True,good,good,good,,,,
inverted_row_underhand_grip,Inverted Row - Underhand Grip,strength,bodyweight,beginner,pull_h,row,biceps,,elbow_injury,As the inverted row; the supinated grip loads the elbow.,authored,,accessory,beginner,True,good,good,good,,,,
one_arm_dumbbell_row,One-Arm Dumbbell Row,strength,dumbbell,beginner,pull_h,row,back,,lower_back_pain,"The bench takes most of the spinal load, so the disc restriction is dropped; still a hinged position.",authored,,main,beginner,False,good,good,good,,,,
prone_swimmer,Prone Swimmer,strength,bodyweight,beginner,isolation,row,back,,lower_back_pain,"Light, but performed face down.",authored,,accessory,beginner,False,good,good,moderate,,,,
pull_up,Pull-Up,strength,bodyweight,intermediate,pull_v,row,back,,"rotator_cuff, shoulder_injury",Full overhead hang loads the shoulder at end range; hanging is also avoided as the abdomen loads.,authored,"rotator_cuff, shoulder_injury",main,intermediate,False,good,good,good,,,,
renegade_row,Renegade Row,strength,dumbbell,advanced,pull_h,row,back,,"lower_back_pain, rotator_cuff, shoulder_injury",A plank under a rowing load; the trunk and the supporting shoulder both work hard.,authored,,accessory,advanced,False,good,good,good,,,,
rowing_machine,Rowing Machine,cardio,rowing_machine,intermediate,locomotion,row,cardio,,"herniated_disc, lower_back_pain, lower_back_pain","Repeated loaded hinge at high cadence, where form fails as fatigue arrives.",authored,,finisher,intermediate,False,moderate,good,good,,,,
seated_cable_row,Seated Cable Row,strength,cable,beginner,pull_h,row,back,,lower_back_pain,Seated and supported; the low back still works to hold the torso upright.,authored,,main,beginner,True,good,good,good,,,,
superman_hold,Superman Hold,strength,bodyweight,beginner,isolation,row,back,,"herniated_disc, lower_back_pain","Sustained lumbar extension, performed lying face down.",authored,,accessory,beginner,False,good,good,moderate,,,,
t_bar_row,T-Bar Row,strength,barbell,intermediate,pull_h,row,back,,"herniated_disc, lower_back_pain",Same hinged position as a barbell row.,authored,,main,intermediate,False,good,moderate,good,,,,
wall_angel_row,Wall Angel Row,strength,bodyweight,beginner,pull_h,row,back,,,"Postural drill against a wall. Suitable for almost everyone, including prenatally.",authored,,accessory,beginner,True,good,good,moderate,,,,
barbell_shrug,Barbell Shrug,strength,barbell,intermediate,isolation,shrug,back,,"cervical_spondylosis, neck_injury","Heavy load hanging from the shoulder girdle, transmitted through the neck.",authored,"cervical_spondylosis, neck_injury",accessory,beginner,True,good,good,moderate,,,,
dumbbell_shrug,Dumbbell Shrug,strength,dumbbell,intermediate,isolation,shrug,back,,"cervical_spondylosis, neck_injury",As the barbell shrug.,authored,"cervical_spondylosis, neck_injury",accessory,beginner,True,good,good,moderate,,,,
dumbbell_side_bend,Dumbbell Side Bend,strength,dumbbell,beginner,isolation,side_bend,core,,"herniated_disc, lower_back_pain",Loaded lateral flexion of the lumbar spine.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
ez_bar_skullcrusher,EZ-Bar Skullcrusher,strength,barbell,intermediate,isolation,skullcrusher,triceps,,elbow_injury,"As above, with the angled bar easing the wrist only.",authored,elbow_injury,accessory,intermediate,False,good,good,moderate,,,,
lying_triceps_press,Lying Triceps Press,strength,barbell,intermediate,isolation,skullcrusher,triceps,,elbow_injury,"Supine, and loads the elbow at end-range flexion.",authored,elbow_injury,accessory,intermediate,False,good,good,moderate,,,,
banded_squat,Banded Squat,strength,bands,beginner,squat,squat,legs,,bad_knee,"Band tension is highest standing and lowest at depth, which is the opposite of where the knee is loaded.",authored,bad_knee,main,beginner,True,good,good,good,,,,
barbell_squat,Barbell Squat,strength,barbell,beginner,squat,squat,legs,,"bad_knee, herniated_disc, hypertension, knee_replacement, osteoporosis",Axial load through the spine with a hard brace; the knee is at end-range flexion under that load.,authored,"bad_knee, herniated_disc, hypertension, osteoporosis",main,beginner,False,good,moderate,good,,,,
bodyweight_squat,Bodyweight Squat,strength,bodyweight,beginner,squat,squat,legs,,bad_knee,No external load; depth is self-selected.,authored,bad_knee,main,beginner,True,good,good,good,,,,
box_squat_to_a_chair,Box Squat to a Chair,strength,bodyweight,beginner,squat,squat,legs,,,"The chair sets the depth, so the knee never passes into an unmanaged range.",authored,bad_knee,main,beginner,True,good,good,good,,,,
wall_sit,Wall Sit,strength,bodyweight,beginner,squat,squat,legs,,bad_knee,Sustained isometric knee flexion; the position is fixed and the load is bodyweight.,authored,bad_knee,accessory,beginner,True,good,good,moderate,,,,
barbell_step_ups,Barbell Step Ups,strength,barbell,advanced,lunge,step_up,legs,,"bad_knee, knee_replacement, osteoporosis",As above with an axial load and a balance demand on top.,authored,"bad_knee, knee_replacement",accessory,advanced,False,good,good,good,,,,
dumbbell_step_ups,Dumbbell Step Ups,strength,dumbbell,beginner,lunge,step_up,legs,,"bad_knee, knee_replacement",Loaded single-leg knee extension; box height decides how much.,authored,"bad_knee, knee_replacement",accessory,beginner,True,good,good,good,,,,
straight_arm_pulldown,Straight-Arm Pulldown,strength,cable,intermediate,pull_v,straight_arm_pulldown,back,,shoulder_injury,Long-lever shoulder extension; the straight arm is what makes it a shoulder movement.,authored,"rotator_cuff, shoulder_injury",accessory,intermediate,True,good,good,moderate,,,,
suitcase_carry,Suitcase Carry,strength,dumbbell,beginner,carry,suitcase_carry,core,,"cervical_spondylosis, lower_back_pain",One-sided load the trunk resists laterally.,authored,,accessory,beginner,True,good,good,moderate,,,,
kettlebell_swing,Kettlebell Swing,strength,kettlebell,intermediate,hinge,swing,legs,,"herniated_disc, hypertension, lower_back_pain",Ballistic hinge; the spine decelerates the bell at the bottom of every rep.,authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,moderate,moderate,good,,,,
bench_dips,Bench Dips,strength,bodyweight,beginner,push_v,triceps_extension,triceps,,"rotator_cuff, shoulder_injury, wrist_injury",Internally rotated shoulder behind the torso — a poor position under load.,authored,"rotator_cuff, shoulder_injury, wrist_injury",accessory,beginner,False,good,good,good,,,,
bodyweight_triceps_extension,Bodyweight Triceps Extension,strength,bodyweight,beginner,isolation,triceps_extension,triceps,,"elbow_injury, wrist_injury","Self-limiting, but the elbow is the only joint working.",authored,,accessory,beginner,True,good,good,moderate,,,,
close_grip_push_up,Close-Grip Push-Up,strength,bodyweight,intermediate,push_h,triceps_extension,triceps,,"elbow_injury, wrist_injury",Loaded wrist extension with the elbows tracking close.,authored,wrist_injury,accessory,intermediate,True,good,good,good,,,,
diamond_push_up,Diamond Push-Up,strength,bodyweight,intermediate,push_h,triceps_extension,triceps,,"elbow_injury, wrist_injury",The narrowest hand position puts the wrist at its end range.,authored,wrist_injury,accessory,advanced,False,good,good,good,,,,
dumbbell_overhead_triceps_extension_two_hands,Dumbbell Overhead Triceps Extension - Two Hands,strength,dumbbell,beginner,isolation,triceps_extension,triceps,,"elbow_injury, shoulder_injury","As above; two hands make it steadier, not lighter on the shoulder.",authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
glute_kickback,Glute Kickback,strength,bodyweight,beginner,hinge,triceps_extension,legs,,lower_back_pain,Quadruped position; the low back arches if the range is chased.,authored,,accessory,beginner,True,good,good,moderate,,,,
incline_close_grip_push_up,Incline Close-Grip Push-Up,strength,bodyweight,beginner,push_h,triceps_extension,triceps,,wrist_injury,Elevated hands reduce both the load and the wrist angle.,authored,wrist_injury,main,beginner,True,good,good,good,,,,
standing_dumbbell_triceps_extension,Standing Dumbbell Triceps Extension,strength,dumbbell,beginner,isolation,triceps_extension,triceps,,"elbow_injury, shoulder_injury",Overhead position stretches the long head and loads the shoulder to hold it there.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
tricep_dumbbell_kickback,Tricep Dumbbell Kickback,strength,dumbbell,beginner,isolation,triceps_extension,triceps,,,"Short lever, light load, elbow working in mid-range.",authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
triceps_overhead_extension_with_rope,Triceps Overhead Extension with Rope,strength,cable,beginner,isolation,triceps_extension,triceps,,"elbow_injury, shoulder_injury",Overhead under constant cable tension.,authored,elbow_injury,accessory,beginner,True,good,good,moderate,,,,
upright_row,Upright Row,strength,barbell,intermediate,pull_v,upright_row,shoulders,,"rotator_cuff, shoulder_injury",Internal rotation with the arm abducted — the classic impingement position.,authored,"rotator_cuff, shoulder_injury",accessory,intermediate,True,good,good,good,,,,
air_bike,Air Bike,cardio,air_bike,intermediate,locomotion,,cardio,,"heart_disease, hypertension","Self-limiting and non-impact, but the effort ceiling is as high as anything here.",authored,,finisher,intermediate,False,moderate,moderate,good,,,,
battle_ropes,Battle Ropes,cardio,battle_ropes,intermediate,locomotion,,cardio,,"heart_disease, hypertension, shoulder_injury",Sustained shoulder work at a cardiovascular intensity.,authored,,finisher,intermediate,False,moderate,good,good,,,,
brisk_walking,Brisk Walking,cardio,bodyweight,beginner,locomotion,,cardio,,,The most universally available conditioning there is. No restriction in the library excludes it.,authored,,finisher,beginner,True,moderate,good,good,,,,
burpees,Burpees,cardio,bodyweight,intermediate,locomotion,,cardio,yes,"bad_knee, heart_disease, hypertension, knee_replacement, shoulder_injury",Maximal-effort whole-body work combining landing impact with a floor transition.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,intermediate,False,moderate,moderate,good,,,,
elliptical_trainer,Elliptical Trainer,cardio,elliptical,beginner,locomotion,,cardio,,,"Supported, non-impact, and among the better prenatal options. **Flagged for review** — the merged duplicate said otherwise.",authored,,finisher,beginner,True,moderate,good,good,,,,
hiit_circuit,HIIT Circuit,cardio,bodyweight,intermediate,locomotion,,cardio,yes,"bad_knee, heart_disease, hypertension",Sustained high effort with form degrading as the circuit progresses.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,intermediate,False,moderate,moderate,good,,,,
high_knees,High Knees,cardio,bodyweight,beginner,locomotion,,cardio,yes,"bad_knee, heart_disease, hypertension",Running mechanics in place; landing force through knee and ankle.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,beginner,False,moderate,moderate,good,,,,
inchworm,Inchworm,stretching,bodyweight,beginner,locomotion,,full_body,,"lower_back_pain, wrist_injury",Loaded forward fold into a plank; the wrists carry bodyweight at the far end.,authored,,warmup,beginner,True,good,good,moderate,,,,
incline_treadmill_walk,Incline Treadmill Walk,cardio,treadmill,beginner,locomotion,,cardio,,bad_knee,Walking mechanics with the incline raising the effort rather than the impact.,authored,,finisher,beginner,True,moderate,good,good,,,,
jump_rope,Jump Rope,cardio,jump_rope,intermediate,locomotion,,cardio,yes,"bad_ankle, bad_knee, heart_disease, hypertension, knee_replacement",Repetitive landing impact at high frequency.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,intermediate,False,moderate,moderate,good,,,,
jumping_jacks,Jumping Jacks,cardio,bodyweight,beginner,locomotion,,cardio,yes,"bad_ankle, bad_knee, knee_replacement",Repeated bilateral landing with the arms overhead.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,beginner,False,moderate,moderate,good,,,,
mountain_climbers,Mountain Climbers,cardio,bodyweight,beginner,locomotion,,cardio,,"heart_disease, hypertension, shoulder_injury",Plank position held under a cardiovascular load; shoulders support throughout.,authored,,finisher,beginner,False,moderate,good,good,,,,
sprint_intervals_hiit,Sprint Intervals (HIIT),cardio,bodyweight,advanced,locomotion,,cardio,yes,"bad_knee, heart_disease, hypertension, knee_replacement",Near-maximal cardiovascular effort with running impact.,authored,"bad_knee, heart_disease, hypertension, knee_replacement",finisher,advanced,False,moderate,moderate,good,,,,
stair_climbing,Stair Climbing,cardio,stair_climber,beginner,locomotion,,cardio,,"bad_knee, knee_replacement",Repeated single-leg knee extension under bodyweight.,authored,,finisher,beginner,True,moderate,good,good,,,,
stationary_cycling,Stationary Cycling,cardio,stationary_bike,beginner,locomotion,,cardio,,bad_knee,Non-impact and fully supported; resistance is chosen.,authored,,finisher,beginner,True,moderate,good,good,,,,
swimming,Swimming,cardio,pool,beginner,locomotion,,cardio,,,Non-weight-bearing. Survives essentially every musculoskeletal restriction.,authored,,finisher,intermediate,True,moderate,good,good,,,,
wrist_circles,Wrist Circles,stretching,bodyweight,beginner,rotation,,full_body,,,Unloaded joint preparation.,authored,,warmup,beginner,True,good,good,moderate,,,,
