food,food_id,category,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,season_suitable,source,varga_or_reasoning,kcal_per_100g,nutrition_source,rasa_ok,guna_ok,virya_ok,vipaka_ok,dosha_ok,ritu_ok,vaidya_notes
Olive Oil,olive_oil,oil,prepared,sweet; astringent,guru; snigdha,cooling,sweet,V-1 P-1 K+1,,grishma; sharad,modern_extrapolated,"No classical entry. Reasoned from Taila Varga as a madhura-kashaya sneha of shita virya — nearest to Narikela Taila in guna, milder in its Kapha effect. Extrapolated, not cited.",884.0,usda,,,,,,,
Sarshapa Taila (Mustard Oil),mustard_oil,oil,prepared,pungent; bitter,laghu; snigdha; tikshna,heating,pungent,V-1 P+2 K-2,"Vata-hara despite katu-tikta rasa: it is a sneha, and the oleating quality reaches Vata where the rasa alone would raise it. Classically kapha-vata hara and decidedly Pitta-vardhaka.",shishira; hemanta; vasanta,bhavaprakasha,Taila,884.0,usda,,,,,,,
Tila Taila (Sesame Oil),sesame_oil,oil,prepared,sweet; bitter; astringent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K+1,"Pitta-vardhaka despite a rasa set that is entirely Pitta-pacifying — the ushna virya governs here, which is why Tila Taila is the Vata oil and not the Pitta one.",shishira; hemanta; varsha,bhavaprakasha,Taila,884.0,usda,,,,,,,
Dhanyaka (Coriander Seed),coriander_dhania,spice,prepared,astringent; bitter; sweet,laghu; snigdha,heating,sweet,V-1 P-1 K-1,"Tridoshaghna, and Pitta-shamaka in effect despite ushna virya — the action the texts attribute to Dhanyaka specifically, which is why it is the one warm spice given freely in Pitta conditions.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,298.0,usda,,,,,,,
Ela (Green Cardamom),cardamom_elaichi,spice,prepared,pungent; sweet,laghu; ruksha,cooling,sweet,V-1 P-1 K-1,Shita virya despite katu rasa — the classical exception that makes Ela the aromatic given in Pitta conditions where Maricha and Twak are barred.,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Karpuradi,311.0,usda,,,,,,,
Haridra (Turmeric),turmeric,spice,prepared,bitter; pungent,ruksha; laghu,heating,pungent,V+0 P-1 K-2,,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,312.0,usda,,,,,,,
Jiraka (Cumin),cumin_jeera,spice,prepared,pungent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,"Vata-anulomana. Katu rasa raises Vata by rule; Jiraka relieves it, by kindling Agni and clearing the Anaha through which Vata accumulates. Classically vata-kapha hara.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,375.0,usda,,,,,,,
Maricha (Black Pepper),black_pepper,spice,prepared,pungent,laghu; tikshna; ruksha,heating,pungent,V-1 P+2 K-2,"Vata-kapha hara at culinary dose, where the deepana action dominates the Vata-raising tendency of katu rasa. In quantity the rasa wins — which is why Maricha is classically a pinch and not a spoon.",shishira; hemanta; vasanta; varsha,bhavaprakasha,Haritakyadi,251.0,usda,,,,,,,
Methika (Fenugreek Seed),fenugreek_seeds_methi,spice,prepared,bitter; pungent,laghu; snigdha,heating,pungent,V-1 P+1 K-2,Vata-kapha hara — the snigdha guna offsets the ruksha tendency its tikta-katu rasa would otherwise carry into Vata.,shishira; hemanta; vasanta,bhavaprakasha,Haritakyadi,323.0,usda,,,,,,,
Mishreya (Fennel),fennel_saunf,spice,prepared,sweet; bitter; pungent,laghu; snigdha,heating,sweet,V-1 P-1 K+0,,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,345.0,usda,,,,,,,
Shunthi (Dry Ginger),ginger_dry_saunth,spice,prepared,pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,"Madhura vipaka despite katu rasa — the classical exception for Shunthi, and the reason dry ginger nourishes where fresh Ardraka only stimulates. The same action makes it vata-hara where katu rasa alone would raise Vata.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,335.0,usda,,,,,,,
Twak (Cinnamon),cinnamon_dalchini,spice,prepared,pungent; bitter; sweet,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,,shishira; hemanta; vasanta; varsha,bhavaprakasha,Karpuradi,247.0,usda,,,,,,,
Yavani (Ajwain),ajwain,spice,prepared,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-2 P+1 K-2,Vata-anulomana and shula-prashamana — the classical carminative. It clears the Anaha through which its own katu-tikta rasa would aggravate Vata.,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Haritakyadi,305.0,ifct2017,,,,,,,
Almond Milk,almond_milk,vegan_protein,prepared,sweet,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,,grishma; sharad; vasanta,modern_extrapolated,"No classical entry. Reasoned from Badama (Vatadi), diluted roughly ten to one — the madhura rasa and snigdha guna survive, the guru quality does not. Extrapolated, not cited.",15.0,usda,,,,,,,
Cashew Cream,cashew_cream,vegan_protein,prepared,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Pitta-vardhaka despite madhura rasa — Kaju is ushna virya, the one sweet nut the texts warn against in Pitta, and blending it into a cream concentrates rather than tempers that.",shishira; hemanta,modern_extrapolated,"No classical entry for the preparation. Reasoned from Kaju (Vatadi Varga) wet-ground — its ushna virya and Pitta action carry over undiluted. Extrapolated, not cited.",250.0,authored_estimate,,,,,,,
Coconut Cream,coconut_cream,vegan_protein,prepared,sweet,guru; snigdha; picchila,cooling,sweet,V-2 P-2 K+2,,grishma; sharad,bhavaprakasha,Amradi Phala,330.0,usda,,,,,,,
Coconut Yogurt,coconut_yogurt,vegan_protein,prepared,sweet; sour,guru; snigdha,heating,sour,V-1 P+1 K+1,,shishira; hemanta,modern_extrapolated,"No classical entry. Reasoned as Narikela Ksheera taken through the fermentation Dadhi undergoes — amla rasa and amla vipaka arrive with the souring, and the Amavata bar arrives with them. Extrapolated, not cited.",97.0,authored_estimate,,,,,,,
Flax Milk,flax_milk,vegan_protein,prepared,sweet; astringent,guru; snigdha; picchila,heating,pungent,V-1 P+1 K+0,"Atasi is ushna virya and katu vipaka against a madhura-kashaya rasa, and Pitta-vardhaka with it — the classical caution on flax, which is why it is a Vata-Kapha seed and not a cooling one. Cited for the seed; carried to the milk by extrapolation.",shishira; hemanta,modern_extrapolated,"No classical entry. Reasoned from Atasi (Uma Varga), which is ushna virya and katu vipaka despite a madhura-kashaya rasa — the Pitta caution is Atasi's own and survives the dilution. Extrapolated, not cited.",25.0,usda,,,,,,,
Narikela Ksheera (Coconut Milk),coconut_milk,vegan_protein,prepared,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+2,,grishma; sharad,bhavaprakasha,Amradi Phala,230.0,usda,,,,,,,
Nutritional Yeast,nutritional_yeast,vegan_protein,prepared,astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,,varsha; sharad; hemanta,modern_extrapolated,"No classical entry. A dried fermented product with no dravya analogue; reasoned as kashaya-tikta, laghu and ruksha, Kapha-hara and Vata-vardhaka. The Amavata and psoriasis bars follow from its being fermented, which is Viruddha in Kushtha. Extrapolated, not cited.",385.0,usda,,,,,,,
Oat Milk,oat_milk,vegan_protein,prepared,sweet,guru; snigdha; picchila,cooling,sweet,V-1 P-1 K+2,,shishira; hemanta; vasanta,modern_extrapolated,"No classical entry. Reasoned from Yava Varga — a madhura, picchila grain extract; unlike Yava itself it is not Kapha-hara, because the milling and straining leave the sweet starch and discard the ruksha bran. Extrapolated, not cited.",43.0,usda,,,,,,,
Soy Milk,soy_milk,vegan_protein,prepared,sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,grishma; sharad,modern_extrapolated,"No classical entry; the soybean itself is absent from the nighantus. Reasoned from the Shimbi (legume) Varga as a madhura-kashaya, guru, abhishyandi preparation — Vata-vardhaka by its flatulence, as legumes are. Extrapolated, not cited.",33.0,usda,,,,,,,
Tofu,vegan_paneer_tofu,vegan_protein,prepared,sweet; astringent,guru; picchila,cooling,sweet,V+1 P-1 K+1,,grishma; sharad,modern_extrapolated,"No classical entry. Reasoned from the Shimbi Varga curdled as Kilata is — guru and abhishyandi like paneer, but Vata-vardhaka where paneer is Vata-hara, because the legume's flatulence survives the curdling. Extrapolated, not cited.",76.0,usda,,,,,,,
Alabu (Bottle Gourd),bottle_gourd,vegetable,cooked,sweet,laghu; snigdha; drava,cooling,sweet,V+0 P-2 K-1,"Laghu and Mutrala where a madhura, snigdha dravya would be neither — which is why Alabu is the gourd given in fever, in convalescence and to a weak Agni.",grishma; varsha; sharad,bhavaprakasha,Shaka,14.0,usda,,,,,,,
Aluka (Potato),potato,vegetable,cooked,sweet,guru; ruksha,cooling,sweet,V+2 P-1 K+1,"Vata-vardhaka despite madhura rasa and against shita virya, which would raise Vata anyway — Aluka is Vatala in the texts, the standard caution on the tuber, and the reason it is cooked with ajwain.",varsha; sharad; hemanta,bhavaprakasha,Shaka,77.0,usda,,,,,,,
Amra (Raw Mango),raw_mango,vegetable,unripe,sour; astringent,laghu; ruksha,heating,sour,V+1 P+2 K-1,,grishma,bhavaprakasha,"Amradi Phala — Amra, unripe",60.0,usda,,,,,,,
Arbi (Colocasia),colocasia_arbi,vegetable,cooked,sweet; astringent,guru; picchila,cooling,sweet,V+2 P-1 K+2,,varsha; sharad,bhavaprakasha,Shaka,112.0,usda,,,,,,,
Ardraka (Fresh Ginger),ginger,vegetable,fresh,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K-2,Ardraka is guru and snigdha with katu vipaka where dried Shunthi is laghu with madhura vipaka. Fresh and dry are two dravyas and the texts prescribe them differently — this row and `ginger_dry_saunth` are that distinction.,hemanta; shishira; varsha,bhavaprakasha,Haritakyadi — Ardraka,80.0,usda,,,,,,,
Asparagus,asparagus,vegetable,cooked,sweet; bitter,guru; snigdha,cooling,sweet,V-1 P-2 K+0,,vasanta; grishma,modern_extrapolated,"The garden asparagus is not Shatavari, though the genus is shared; the nighantu entry describes the root and this row is the shoot. Reasoned as a madhura-tikta, shita Shaka with a mutrala action. Extrapolated, not cited.",20.0,usda,,,,,,,
Broccoli,broccoli,vegetable,cooked,bitter; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry. Reasoned from the Shaka Varga at its tikta-kashaya, laghu, ruksha end alongside the other crucifers; the goitrogen caution is modern. Extrapolated, not cited.",35.0,usda,,,,,,,
Cabbage,cabbage,vegetable,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry. Reasoned with the other crucifers; strongly Vata-vardhaka. Extrapolated, not cited.",25.0,usda,,,,,,,
Cauliflower,cauliflower,vegetable,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry. Reasoned with the other crucifers as laghu, ruksha and markedly Vata-vardhaka — the flatulence is what the classical Shaka cautions describe. Extrapolated, not cited.",25.0,usda,,,,,,,
Eranda-karkati (Raw Papaya),raw_papaya,vegetable,unripe,astringent; bitter,laghu; tikshna; ruksha,heating,pungent,V+1 P+1 K-2,"Bhedana and a uterine stimulant — unripe papaya carries the action far more strongly than the ripe fruit, which is the whole basis of the pregnancy bar.",varsha; sharad,bhavaprakasha,Shaka,43.0,usda,,,,,,,
French Beans,french_beans,vegetable,cooked,sweet; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry — a New World bean. Reasoned from the Shimbi Shaka as laghu, ruksha and Vata-vardhaka. Extrapolated, not cited.",31.0,usda,,,,,,,
Garjara (Carrot),carrot,vegetable,cooked,sweet; bitter,laghu; ruksha,heating,pungent,V-1 P+1 K-1,"Deepana and Grahi — Garjara is warming and binding, which is why it is a winter root and not the cooling one its madhura rasa suggests.",hemanta; shishira,bhavaprakasha,Shaka,41.0,usda,,,,,,,
Gavar (Cluster Beans),cluster_beans_gavar,vegetable,cooked,astringent; sweet; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,varsha; sharad,bhavaprakasha,Shaka,16.0,ifct2017,,,,,,,
Kadali Kanda (Raw Banana),raw_banana,vegetable,unripe,astringent; sweet,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,grishma; varsha,bhavaprakasha,"Shaka — Kadali, unripe",89.0,usda,,,,,,,
Kamala Kanda (Lotus Stem),lotus_stem,vegetable,cooked,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,hemanta; shishira,bhavaprakasha,Shaka — Kamala,74.0,usda,,,,,,,
Kanda (Yam),yam,vegetable,cooked,sweet; astringent,guru; ruksha,heating,sweet,V-1 P+1 K-1,"Arshoghna — Surana is the classical haemorrhoid remedy, the action it is named for and one no part of its rasa predicts.",hemanta; shishira,bhavaprakasha,Shaka — Surana,118.0,usda,,,,,,,
Karavellaka (Bitter Gourd),bitter_gourd_karela,vegetable,cooked,bitter,laghu; ruksha,heating,pungent,V+1 P-1 K-2,"The Prameha vegetable — Karavellaka's sugar-reducing action is the one the texts single it out for, and it is ushna against a tikta rasa that would cool.",grishma; varsha; sharad,bhavaprakasha,Shaka,17.0,usda,,,,,,,
Katuvira (Capsicum),capsicum_bell_pepper,vegetable,cooked,pungent; sweet,laghu; ruksha,heating,pungent,V-1 P+1 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry — Capsicum is a New World genus. Reasoned as a mild katu, laghu, ushna Shaka, far below Maricha in tikshna. Extrapolated, not cited.",31.0,usda,,,,,,,
Koshataki (Ridge Gourd),ridge_gourd,vegetable,cooked,sweet; bitter,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,,grishma; varsha,bhavaprakasha,Shaka,20.0,usda,,,,,,,
Kushmanda (Pumpkin),pumpkin,vegetable,cooked,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+1,"Medhya and Hridya — Kushmanda is the Rasayana gourd, given in mental and cardiac depletion, which is not an action any of its qualities predict.",sharad; hemanta,bhavaprakasha,Shaka,26.0,usda,,,,,,,
Lasuna (Garlic),garlic,vegetable,cooked,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+2 K-2,Rasayana for Vata and the classical Amavata medicine — Lasuna carries five of the six rasas and is prescribed where its katu rasa alone would bar it.,hemanta; shishira; varsha,bhavaprakasha,Shaka,149.0,usda,,,,,,,
Makka (Sweet Corn),corn_sweet,vegetable,cooked,sweet; astringent,guru; ruksha,heating,pungent,V+1 P+1 K-1,,varsha; sharad,bhavaprakasha,Kudhanya,96.0,usda,,,,,,,
Methika Patra (Fenugreek Leaves),methi_fenugreek_leaves,vegetable,cooked,bitter; astringent,laghu; ruksha,heating,pungent,V-1 P+1 K-2,"Deepana and Vata-hara despite a tikta-kashaya rasa that raises Vata by rule — the leaf is warming where the rasa is not, which is why Methi greens are a winter Shaka.",hemanta; shishira,bhavaprakasha,Shaka,49.0,usda,,,,,,,
Mushroom,mushroom,vegetable,cooked,sweet; astringent,guru; picchila,cooling,pungent,V+1 P-1 K+1,,varsha; sharad,bhavaprakasha,"Shaka — Chatraka. The texts class Chatraka among the foods to be avoided, being guru, picchila and Ama-forming; the row carries that caution rather than the modern reading.",22.0,usda,,,,,,,
Palakya (Palak),palak,vegetable,cooked,sweet; astringent; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira; vasanta,bhavaprakasha,Shaka,23.0,usda,,,,,,,
Palakya (Spinach),spinach,vegetable,cooked,sweet; astringent; bitter,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,hemanta; shishira; vasanta,bhavaprakasha,Shaka,23.0,usda,,,,,,,
Palandu (Onion),onion,vegetable,cooked,pungent; sweet,guru; snigdha; tikshna,heating,pungent,V-1 P+2 K-1,,hemanta; shishira; vasanta,bhavaprakasha,Shaka,40.0,usda,,,,,,,
Palanki (Beetroot),beetroot,vegetable,cooked,sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,,hemanta; shishira,bhavaprakasha,Shaka,44.0,usda,,,,,,,
Panasa (Jackfruit),jackfruit,vegetable,cooked,sweet; astringent,guru; picchila,cooling,sweet,V-1 P-1 K+2,,grishma; varsha,bhavaprakasha,Shaka,95.0,usda,,,,,,,
Raktaphala (Tomato),tomato,vegetable,raw,sour; sweet,laghu; snigdha,heating,sour,V-1 P+2 K-1,,hemanta; shishira,modern_extrapolated,"No nighantu entry — the tomato is a New World fruit. Reasoned as amla-madhura with amla vipaka and ushna virya; the Amlapitta and Amavata cautions follow from the amla rasa the derived row already named while giving it katu vipaka. Extrapolated, not cited.",18.0,usda,,,,,,,
Shakarkand (Sweet Potato),sweet_potato,vegetable,cooked,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+2,,hemanta; shishira,bhavaprakasha,Shaka,86.0,usda,,,,,,,
Shigru (Drumstick / Moringa),drumstick_moringa,vegetable,cooked,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,"Shothahara and Krimighna — Shigru is the anti-inflammatory Shaka, given in Amavata and in Shotha where a katu-tikta vegetable would otherwise be avoided for Vata.",vasanta; grishma,bhavaprakasha,Shaka,37.0,usda,,,,,,,
Tindora (Ivy Gourd),ivy_gourd_tindora,vegetable,cooked,bitter; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,,grishma; varsha,bhavaprakasha,Shaka — Bimbi,18.0,usda,,,,,,,
Trapusha (Cucumber),cucumber,vegetable,raw,sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,,grishma; sharad,bhavaprakasha,Shaka,15.0,usda,,,,,,,
Zucchini,zucchini,vegetable,cooked,sweet,laghu; drava,cooling,sweet,V+0 P-1 K+0,,grishma; sharad,modern_extrapolated,"No nighantu entry. Reasoned from Koshataki and Alabu as a laghu, drava summer gourd. Extrapolated, not cited.",17.0,usda,,,,,,,
